Probe;Lackslurry;Wasser;Byk 1770;Disperbyk 199;Albawhite 70;Omycarb 2J - SV;Tronox CR 828;Lanco Matt 2000;Sylysia 256;Wasser;Acrysol RM 2020 E;Mowilith LDM 7416;Albedingk AC2003;Wasser;Nuosperse FX 605;Byk 1785;Acrysol RM 8 WE;Acticide MV 1;Acticide ICB 10;Acticide SR 1032;Byk 333;Acrysol RM 2020 E;Omycarb 2J - SV;Wasser;Acrysol RM 8 WE;Aquamat 272;;Kosten RST kg;Kosten Gesamt kg;Kosten RST L;Kosten Gesamt L;Viskosität lowshear;Viskosität midshear;Brookfield;Verarbeitung;Oberfläche;Verlauf;Bemerkung;Entschäumung trocken; Glanz 20;Glanz 60;Glanz 85;Kratzschutz
1;;10,97;0,25;4;;;20;1,2;;1,2;2,5;51,65;;3,7;0,45;0,25;0,15;0,08;0,1;0,1;0,3;1,6;;;;1,5;;2,53;3,082;3,082;3,758;;;;;;;;;;;;
2;25;10,17;0,25;;;;;;1;1,2;2,5;;51,65;2;;0,25;0,15;0,08;0,1;0,1;0,1;0,8;;;;;;1,909;2,509;2,361;3,001;8210;3760;2,7;;;;;;7;35;67;5
2a;25;10,17;0,25;;;;;;1;1,2;2,5;;51,65;2;;0,25;0,15;0,08;0,1;0,1;0,1;0,8;;5,5;;1;;1,969;2,572;2,355;3,076;4210;2200;2;2;4;3,5;narbig;2;4;23;51;
3;25;7,17;0,25;;;5;;;;1,2;2,5;;51,65;2;;0,25;-;0,08;0,1;0,1;0,1;;;;;;;1,821;2,415;2,243;2,974;5930;2620;2,4;;;;;;7;37;78;5
3a;25;7,17;0,25;;;5;;;;1,2;2,5;;51,65;2;;0,25;-;0,08;0,1;0,1;0,1;;;3,3;;1;;1,882;2,48;2,318;3,054;3070;1540;1,9;2;4;3,5;narbig;2;5;31;68;
4;25;10;0,25;;;5;;;;1,2;2,5;45;;3,7;;0,25;-;0,08;0,1;0,1;0,1;1,5;;;;;;1,989;2,593;2,42;3,155;1710;980;2,2;;;;;;10;43;80;2
4a;25;10;0,25;;;5;;;;1,2;2,5;45;;3,7;;0,25;-;0,08;0,1;0,1;0,1;1,5;;;;1;;2,05;2,658;2,494;3,234;;;;;;;;;;;;
4b;25;10;0,25;;;5;;;;1,2;2,5;45;;3,7;;0,25;-;0,08;0,1;0,1;0,1;1,5;3;;0,26;;;1,999;2,604;2,487;3,239;;;;2;2,5;2;;3,5;6;33;72;2
5;25;10;0,25;;5;5;;;;1,2;2,5;;45;3,7;;0,25;-;0,08;0,1;0,1;0,1;0,6;;;;;;1,756;2,346;2,263;3,023;3230;1650;2,3;2;4;3,5;narbig;2;4;24;56;5
5a;25;10;0,25;;5;5;;;;1,2;2,5;;45;3,7;;0,25;-;0,08;0,1;0,1;0,1;0,6;;;;1;;1,817;2,411;2,342;3,107;;;;;;;;;;;;
6;25;10;0,25;;5;5;;;;1,2;2,5;45;;3,7;;0,25;-;0,08;0,1;0,1;0,1;1,3;;;0,3;;;2,027;2,634;2,587;3,362;1890;1060;2,2;2;3,5;3;;4;6;31;64;2,5
6a;25;10;0,25;;5;5;;;;1,2;2,5;45;;3,7;;0,25;-;0,08;0,1;0,1;0,1;1,3;;;;1;;2,084;2,694;2,66;3,439;;;;;;;;;;;;
7;25;10,17;0,25;;;5;;;;1,2;2,5;17,5;34,5;2;;0,25;-;0,08;0,1;0,1;0,1;0,7;;;;;;1,942;2,544;2,385;3,125;3890;1760;2,2;;;;;;10;42;79;5
7a;25;10,17;0,25;;;5;;;;1,2;2,5;17,5;34,5;2;-;0,25;-;0,08;0,1;0,1;0,1;0,7;;;;1;;2,003;2,608;2,46;3,203;;;;;;;;;;;;
